iter	MultiClass
0	0.6540915598
1	0.6185448666
2	0.5852353174
3	0.5551023028
4	0.5275354181
5	0.5034249507
6	0.479666127
7	0.4577853313
8	0.4379342269
9	0.4197823611
10	0.4019995344
11	0.3854353131
12	0.370127541
13	0.3560424031
14	0.3435330094
15	0.330911909
16	0.3198532349
17	0.3094245224
18	0.2995309945
19	0.2899253015
20	0.2811047963
21	0.2728246354
22	0.264565747
23	0.2576248278
24	0.2505680954
25	0.244209449
26	0.2379071462
27	0.2320753914
28	0.2268155748
29	0.2216435959
30	0.2168202303
31	0.2120528396
32	0.2076936461
33	0.2036107734
34	0.1998413954
35	0.196062181
36	0.1927723888
37	0.1895034419
38	0.1860002735
39	0.1831693927
40	0.1801558769
41	0.177362669
42	0.175109552
43	0.1726198387
44	0.1705510265
45	0.1685597277
46	0.1665666158
47	0.1646435978
48	0.1629206949
49	0.1613069797
50	0.1597105357
51	0.1579710445
52	0.1564838001
53	0.1552365218
54	0.1540654462
55	0.1528684046
56	0.1515552791
57	0.1503631687
58	0.1493846472
59	0.1483333536
60	0.1473941911
61	0.1466039547
62	0.1456977748
63	0.1449745392
64	0.1442439384
65	0.1434150696
66	0.1428155324
67	0.1421771362
68	0.1417002725
69	0.1409607213
70	0.1402795407
71	0.1396559883
72	0.1391865426
73	0.1386690572
74	0.1380987468
75	0.13767555
76	0.1372199585
77	0.1367707177
78	0.1362784853
79	0.1358963877
80	0.1355221995
81	0.1350300618
82	0.134632679
83	0.1342472702
84	0.1338943023
85	0.1336477331
86	0.133306754
87	0.132985868
88	0.1326590849
89	0.1323548053
90	0.1320692846
91	0.1317622958
92	0.1315098687
93	0.1312466836
94	0.1309384114
95	0.1308351403
96	0.130589605
97	0.1303811938
98	0.130139831
99	0.129889659
100	0.1296946024
101	0.1294140029
102	0.1291738252
103	0.1289355015
104	0.1287191142
105	0.128484914
106	0.1282940207
107	0.1280749866
108	0.1278538044
109	0.1276761082
110	0.1276349693
111	0.1274525644
112	0.1272896036
113	0.1270322963
114	0.126834743
115	0.1265999178
116	0.1264316736
117	0.1261995872
118	0.126040878
119	0.1258672677
120	0.1257642064
121	0.1255730894
122	0.1253773069
123	0.1252038833
124	0.1250617805
125	0.1248978037
126	0.1247530423
127	0.1245620457
128	0.1244211288
129	0.1242827042
130	0.1241460874
131	0.1239966731
132	0.1238736931
133	0.1237015735
134	0.1235978318
135	0.1234795936
136	0.1233314679
137	0.12319048
138	0.1230590886
139	0.12289739
140	0.122763927
141	0.1227635161
142	0.1226452707
143	0.1224848177
144	0.1223521076
145	0.1222576973
146	0.1221751029
147	0.1221748657
148	0.122088965
149	0.1219804585
150	0.1218503975
151	0.1217583003
152	0.1216592111
153	0.121514942
154	0.1215148449
155	0.1213716647
156	0.1212405439
157	0.1212404607
158	0.1211191514
159	0.1210047037
160	0.1208545475
161	0.1208056932
162	0.1206745643
163	0.120632121
164	0.1205543727
165	0.1205199699
166	0.1204333512
167	0.1203157219
168	0.1201248024
169	0.1200424782
170	0.1199400399
171	0.1198634203
172	0.1196482976
173	0.1194903838
174	0.1194381224
175	0.1193286416
176	0.119208409
177	0.1191208308
178	0.1190368162
179	0.1189143496
180	0.1189114024
181	0.1188158634
182	0.1187022807
183	0.11865887
184	0.1185499605
185	0.1184581549
186	0.1183584056
187	0.1182138426
188	0.1181051302
189	0.1180463719
190	0.1179247861
191	0.1178474017
192	0.1177381017
193	0.1177004804
194	0.1176022067
195	0.1175137874
196	0.1174822741
197	0.1174396227
198	0.117353873
199	0.1172117636
200	0.1171092733
201	0.1169827584
202	0.1169153226
203	0.116866649
204	0.1167485709
205	0.1166846917
206	0.1165884664
207	0.1165210512
208	0.1164414366
209	0.1163996327
210	0.1163235801
211	0.1162949718
212	0.1162471755
213	0.1161618112
214	0.1160485477
215	0.1159931397
216	0.1158862462
217	0.1158202473
218	0.1157820414
219	0.1157239506
220	0.1156104862
221	0.1155664493
222	0.1154493359
223	0.1153401639
224	0.1152944581
225	0.1152523104
226	0.1151848512
227	0.1150920566
228	0.1150543758
229	0.1149603216
230	0.1148743089
231	0.1148110331
232	0.1147277403
233	0.1145962133
234	0.1144920547
235	0.1144756568
236	0.1144375405
237	0.1143814946
238	0.1142696785
239	0.1141347371
240	0.1140737058
241	0.113995556
242	0.1139202244
243	0.113875394
244	0.1137975251
245	0.113793801
246	0.1137314101
247	0.1136735697
248	0.1135903689
249	0.1135351947
250	0.1134289893
251	0.1134117425
252	0.1132883157
253	0.1132695997
254	0.1131896839
255	0.1130666542
256	0.113052986
257	0.11301065
258	0.1129735398
259	0.1129299842
260	0.1128037108
261	0.1127772018
262	0.1126815829
263	0.1125525369
264	0.1124896251
265	0.1124080842
266	0.1124044098
267	0.1123540713
268	0.112351702
269	0.1122603659
270	0.1122133915
271	0.1121338615
272	0.1121199262
273	0.1120333016
274	0.1120078977
275	0.1119318029
276	0.1119201266
277	0.1118824623
278	0.11185113
279	0.1117792118
280	0.1117684494
281	0.1117277691
282	0.1117144522
283	0.1116743221
284	0.111607008
285	0.1115960579
286	0.1115477053
287	0.1114996972
288	0.1114535487
289	0.1114401129
290	0.1113951713
291	0.1113297294
292	0.1112805184
293	0.1112361402
294	0.1111443828
295	0.1110536947
296	0.1109777273
297	0.1109436956
298	0.1109138935
299	0.1109030617
