iter	Passed	Remaining
0	58	17586
1	170	25417
2	284	28174
3	385	28505
4	485	28641
5	598	29325
6	702	29406
7	810	29566
8	923	29849
9	1039	30132
10	1166	30640
11	1267	30422
12	1380	30478
13	1502	30692
14	1620	30790
15	1710	30358
16	1824	30365
17	1954	30614
18	2073	30670
19	2138	29937
20	2256	29975
21	2376	30032
22	2499	30106
23	2615	30082
24	2723	29959
25	2844	29976
26	2955	29884
27	3037	29505
28	3158	29517
29	3265	29390
30	3358	29139
31	3470	29063
32	3521	28495
33	3656	28608
34	3755	28435
35	3874	28413
36	3975	28257
37	4093	28220
38	4214	28203
39	4260	27693
40	4367	27587
41	4478	27513
42	4584	27398
43	4687	27274
44	4792	27157
45	4917	27153
46	5046	27167
47	5165	27121
48	5286	27078
49	5411	27057
50	5523	26966
51	5637	26887
52	5759	26840
53	5879	26784
54	5996	26713
55	6116	26649
56	6238	26595
57	6363	26552
58	6504	26568
59	6628	26513
60	6746	26434
61	6867	26363
62	6989	26293
63	7107	26209
64	7228	26133
65	7340	26027
66	7458	25937
67	7569	25824
68	7601	25449
69	7735	25415
70	7856	25340
71	7987	25295
72	8115	25237
73	8250	25196
74	8408	25226
75	8466	24955
76	8667	25101
77	8850	25189
78	9071	25376
79	9246	25428
80	9403	25425
81	9580	25469
82	9729	25436
83	9904	25469
84	10091	25526
85	10149	25254
86	10336	25306
87	10474	25234
88	10614	25164
89	10786	25168
90	10940	25126
91	11097	25089
92	11278	25103
93	11426	25042
94	11528	24877
95	11543	24530
96	11664	24412
97	11783	24287
98	11906	24174
99	12024	24048
100	12143	23927
101	12244	23769
102	12377	23673
103	12536	23626
104	12740	23660
105	12939	23681
106	13123	23671
107	13297	23639
108	13491	23641
109	13613	23514
110	13629	23206
111	13745	23072
112	13888	22983
113	14025	22884
114	14164	22787
115	14290	22666
116	14415	22547
117	14516	22390
118	14659	22297
119	14794	22192
120	14928	22084
121	15083	22006
122	15233	21921
123	15394	21849
124	15567	21794
125	15706	21689
126	15849	21589
127	16003	21505
128	16133	21386
129	16274	21281
130	16422	21186
131	16579	21101
132	16741	21021
133	16890	20924
134	16950	20717
135	17098	20618
136	17258	20533
137	17404	20431
138	17550	20328
139	17693	20220
140	17828	20104
141	17847	19858
142	18004	19767
143	18147	19659
144	18299	19561
145	18437	19448
146	18570	19328
147	18602	19105
148	18758	19010
149	18905	18905
150	19047	18795
151	19201	18695
152	19375	18615
153	19502	18489
154	19529	18269
155	19678	18164
156	19781	18017
157	19796	17791
158	19912	17658
159	20029	17525
160	20190	17431
161	20312	17303
162	20410	17155
163	20533	17027
164	20664	16907
165	20716	16722
166	20858	16611
167	20973	16479
168	21082	16341
169	21208	16218
170	21324	16086
171	21438	15954
172	21558	15826
173	21676	15696
174	21803	15574
175	21942	15459
176	22087	15349
177	22236	15240
178	22384	15131
179	22526	15017
180	22564	14835
181	22715	14727
182	22873	14624
183	23017	14510
184	23157	14395
185	23305	14284
186	23458	14175
187	23600	14059
188	23748	13947
189	23885	13828
190	24030	13713
191	24174	13598
192	24317	13481
193	24472	13371
194	24610	13251
195	24758	13137
196	24831	12982
197	24992	12875
198	25150	12764
199	25310	12655
200	25454	12537
201	25594	12417
202	25742	12300
203	25877	12177
204	25994	12046
205	26123	11920
206	26260	11798
207	26414	11683
208	26603	11583
209	26747	11463
210	26897	11345
211	27050	11228
212	27189	11105
213	27324	10980
214	27457	10855
215	27611	10737
216	27750	10614
217	27944	10511
218	28102	10394
219	28250	10272
220	28405	10154
221	28545	10029
222	28723	9918
223	28856	9790
224	29020	9673
225	29237	9573
226	29402	9455
227	29539	9328
228	29701	9208
229	29896	9098
230	30063	8979
231	30224	8858
232	30376	8734
233	30539	8613
234	30737	8501
235	31005	8408
236	31251	8307
237	31431	8187
238	31617	8069
239	31855	7963
240	32122	7863
241	32315	7744
242	32471	7616
243	32639	7490
244	32817	7367
245	32929	7228
246	33112	7105
247	33355	6993
248	33529	6867
249	33705	6741
250	33995	6636
251	34161	6506
252	34376	6386
253	34450	6239
254	34660	6116
255	34834	5987
256	35132	5878
257	35313	5748
258	35468	5614
259	35620	5480
260	35799	5349
261	35983	5218
262	36143	5084
263	36294	4949
264	36524	4824
265	36782	4701
266	36940	4565
267	37127	4433
268	37285	4296
269	37449	4161
270	37602	4023
271	37748	3885
272	37896	3748
273	38068	3612
274	38271	3479
275	38466	3344
276	38621	3206
277	38774	3068
278	38957	2932
279	39125	2794
280	39273	2655
281	39507	2521
282	39798	2390
283	39953	2250
284	40123	2111
285	40352	1975
286	40564	1837
287	40722	1696
288	40904	1556
289	41067	1416
290	41230	1275
291	41467	1136
292	41661	995
293	41830	853
294	42030	712
295	42186	570
296	42333	427
297	42522	285
298	42671	142
299	42901	0
