Shipment_ID,Shipment_Date,Year,Month,Cargo_Season,Commodity_Type,Commodity_Risk_Level,Shipper_Company_Name,Shipper_Compliance_Score,Consignee_Company_Name,Consignee_Compliance_Score,Shipment_Value_USD,Weight_KG,Previous_Violations,Missing_Documents,Inspection_Required
SHP00001,2025-01-31,2025,1,Regular,Textiles,Low,Cotton Weave Industries,80,Riyadh Garment Trading,87,132932,5440,1,No,0
SHP00002,2025-05-23,2025,5,Regular,Consumer Goods,Low,Premium Consumer Goods,69,Saudi Retail Group,68,389468,11413,6,No,0
SHP00003,2024-03-16,2024,3,Ramadan,Pharmaceuticals,High,Sun Pharma Logistics,42,Riyadh Healthcare Imports,42,268455,5101,11,No,1
SHP00004,2024-12-18,2024,12,Year_End_Peak,Agricultural Products,Low,Green Farm Exports,83,Saudi Agriculture Imports,85,150503,2797,1,No,0
SHP00005,2025-06-21,2025,6,Hajj,Medical Equipment,High,Healthcare Equipment Exporters,49,Saudi Medical Equipment,51,274538,3606,6,Yes,1
SHP00006,2022-01-14,2022,1,Regular,Pharmaceuticals,High,Pfizer Manufacturing,67,Jeddah Pharma Distribution,53,175073,11066,4,No,0
SHP00007,2025-12-22,2025,12,Year_End_Peak,Consumer Goods,Low,Consumer Products Ltd,74,Saudi Retail Group,68,373654,8276,5,No,0
SHP00008,2024-10-18,2024,10,Regular,Machinery,Medium,Heavy Equipment Exporters,70,Riyadh Equipment Group,72,241181,13467,1,No,0
SHP00009,2024-09-22,2024,9,Regular,Consumer Goods,Low,Premium Consumer Goods,69,Jeddah Consumer Imports,60,41397,28424,5,No,0
SHP00010,2024-12-12,2024,12,Year_End_Peak,Consumer Goods,Low,Consumer Products Ltd,74,Saudi Retail Group,68,275329,21293,4,No,0
SHP00011,2023-06-05,2023,6,Hajj,Consumer Goods,Low,Global Retail Exporters,76,Riyadh Retail Distribution,60,456808,2077,2,No,0
SHP00012,2022-10-16,2022,10,Regular,Automotive Parts,Medium,Global Auto Parts,78,Riyadh Auto Traders,77,135633,26904,3,No,0
SHP00013,2024-12-07,2024,12,Year_End_Peak,Food Products,Low,Premium Foods Ltd,94,Jeddah Grocery Group,83,298366,11887,0,No,0
SHP00014,2024-08-18,2024,8,Regular,Chemicals,High,Global Chemical Exports,58,Saudi Chemical Imports,54,376396,8160,5,No,1
